127.0.0.1 - - [27/Oct/2021:11:25:26 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Oct/2021:11:25:28 +0530] "GET /log/ HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [27/Oct/2021:11:25:29 +0530] "GET /log/resources/styles/welcome.css;jsessionid=788D5CF65CFAA12866FBA8789070684B HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [27/Oct/2021:11:25:29 +0530] "GET /log/resources/styles/wel.jpg HTTP/1.1" 200 1861596
0:0:0:0:0:0:0:1 - - [27/Oct/2021:11:25:44 +0530] "GET /log/ HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [27/Oct/2021:11:25:45 +0530] "GET /log/resources/styles/welcome.css HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [27/Oct/2021:11:25:46 +0530] "GET /log/resources/styles/welcome.css HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [27/Oct/2021:11:25:46 +0530] "GET /log/resources/styles/wel.jpg HTTP/1.1" 200 1861596
0:0:0:0:0:0:0:1 - - [27/Oct/2021:11:28:10 +0530] "GET /log/register HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [27/Oct/2021:11:28:10 +0530] "GET /log/resources/styles/REG.css HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [27/Oct/2021:11:28:25 +0530] "GET /log/ HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [27/Oct/2021:11:28:25 +0530] "GET /log/resources/styles/welcome.css HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [27/Oct/2021:11:28:25 +0530] "GET /log/resources/styles/wel.jpg HTTP/1.1" 200 1861596
0:0:0:0:0:0:0:1 - - [27/Oct/2021:12:42:38 +0530] "GET /log/login HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [27/Oct/2021:12:42:39 +0530] "GET /log/resources/styles/login.css HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [27/Oct/2021:12:42:42 +0530] "GET /log/resources/styles/welcome.css HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [27/Oct/2021:12:42:46 +0530] "GET /log/register HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [27/Oct/2021:12:42:46 +0530] "GET /log/resources/styles/REG.css HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [27/Oct/2021:12:44:41 +0530] "GET /log/resources/styles/REG.css HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [27/Oct/2021:12:48:01 +0530] "GET /log/register HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [27/Oct/2021:12:48:01 +0530] "GET /log/resources/styles/REG.css HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [27/Oct/2021:12:48:24 +0530] "GET /log/ HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [27/Oct/2021:12:48:24 +0530] "GET /log/resources/styles/welcome.css HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [27/Oct/2021:12:48:24 +0530] "GET /log/resources/styles/wel.jpg HTTP/1.1" 200 1861596
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:05:13 +0530] "GET /log/resources/styles/welcome.css HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:05:13 +0530] "GET /log/resources/styles/wel.jpg HTTP/1.1" 200 1861596
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:05:19 +0530] "GET /log/register HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:05:19 +0530] "GET /log/resources/styles/REG.css HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:08:55 +0530] "GET /log/register HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:08:55 +0530] "GET /log/resources/styles/REG.css HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:24 +0530] "POST /log/registerprocess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:24 +0530] "GET /log/ HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:24 +0530] "GET /log/resources/styles/welcome.css HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:24 +0530] "GET /log/resources/styles/wel.jpg HTTP/1.1" 200 1861596
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:26 +0530] "GET /log/login HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:26 +0530] "GET /log/resources/styles/login.css HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:29 +0530] "POST /log/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:29 +0530] "GET /log/dashboard HTTP/1.1" 200 1167
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:29 +0530] "GET /log/resources/styles/dashboard.css HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:29 +0530] "GET /log/resources/styles/bg6.jpg HTTP/1.1" 200 807364
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:31 +0530] "GET /log/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:31 +0530] "GET /log/ HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:31 +0530] "GET /log/resources/styles/welcome.css HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:31 +0530] "GET /log/resources/styles/wel.jpg HTTP/1.1" 200 1861596
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:32 +0530] "GET /log/register HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:32 +0530] "GET /log/resources/styles/REG.css HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:34 +0530] "GET /log/login HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:34 +0530] "GET /log/resources/styles/login.css HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:36 +0530] "GET /log/resources/styles/REG.css HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [27/Oct/2021:13:09:39 +0530] "GET /log/ HTTP/1.1" 200 814
