0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:38:22 +0530] "GET /log/resources/styles/welcome.css;jsessionid=0FD3D585032308235A3BA51212B1684D HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:38:23 +0530] "GET /log/resources/styles/wel.jpg HTTP/1.1" 200 1861596
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:38:32 +0530] "GET /log/login HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:38:32 +0530] "GET /log/resources/styles/login.css HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:38:38 +0530] "POST /log/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:38:38 +0530] "GET /log/dashboard HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:38:38 +0530] "GET /log/resources/styles/dashboard.css HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:38:38 +0530] "GET /log/resources/styles/bg6.jpg HTTP/1.1" 200 807364
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:38:44 +0530] "GET /log/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:38:44 +0530] "GET /log/ HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:38:44 +0530] "GET /log/resources/styles/welcome.css HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:38:44 +0530] "GET /log/resources/styles/wel.jpg HTTP/1.1" 200 1861596
