127.0.0.1 - - [11/Oct/2021:14:38:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Oct/2021:14:38:13 +0530] "GET /log/ HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [11/Oct/2021:14:38:13 +0530] "GET /log/resources/styles/welcome.css;jsessionid=FFCF2F5AFB245DD5B6A2094B0CCE8E59 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [11/Oct/2021:14:38:13 +0530] "GET /log/resources/styles/bg8.png HTTP/1.1" 200 324616
0:0:0:0:0:0:0:1 - - [11/Oct/2021:14:38:20 +0530] "GET /log/ HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [11/Oct/2021:14:38:21 +0530] "GET /log/resources/styles/welcome.css HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [11/Oct/2021:14:38:21 +0530] "GET /log/resources/styles/bg8.png HTTP/1.1" 200 324616
0:0:0:0:0:0:0:1 - - [11/Oct/2021:14:38:24 +0530] "GET /log/login HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [11/Oct/2021:14:38:25 +0530] "GET /log/resources/styles/login.css HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [11/Oct/2021:14:38:32 +0530] "POST /log/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:14:38:32 +0530] "GET /log/dashboard HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [11/Oct/2021:14:38:32 +0530] "GET /log/resources/styles/dashboard.css HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [11/Oct/2021:14:38:32 +0530] "GET /log/resources/styles/med1.jpg HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [11/Oct/2021:14:38:32 +0530] "GET /log/resources/styles/po1.png HTTP/1.1" 200 18764
0:0:0:0:0:0:0:1 - - [11/Oct/2021:14:38:32 +0530] "GET /log/resources/styles/bg6.jpg HTTP/1.1" 200 66749
0:0:0:0:0:0:0:1 - - [11/Oct/2021:14:38:32 +0530] "GET /log/resources/styles/aq.jpeg HTTP/1.1" 200 43521
0:0:0:0:0:0:0:1 - - [11/Oct/2021:14:38:42 +0530] "GET /log/emp/pendingorders HTTP/1.1" 500 16801
