127.0.0.1 - - [22/Nov/2021:12:37:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:17 +0530] "GET /log/ HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:17 +0530] "GET /log/ HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:18 +0530] "GET /log/resources/styles/welcome.css HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:18 +0530] "GET /log/ HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:18 +0530] "GET /log/resources/styles/wel.jpg HTTP/1.1" 200 1861596
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:18 +0530] "GET /log/resources/styles/welcome.css;jsessionid=5931A1FEFB9ACD532F45A38A6146D487 HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:19 +0530] "GET /log/resources/styles/wel.jpg HTTP/1.1" 200 1861596
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:23 +0530] "GET /log/login HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:23 +0530] "GET /log/resources/styles/login.css HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:27 +0530] "POST /log/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:28 +0530] "GET /log/dashboard HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:28 +0530] "GET /log/resources/styles/dashboard.css HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:28 +0530] "GET /log/resources/styles/bg6.jpg HTTP/1.1" 200 807364
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:31 +0530] "GET /log/user/productform HTTP/1.1" 200 2375
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:31 +0530] "GET /log/resources/styles/productform.css HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:31 +0530] "GET /log/resources/styles/123.jpg HTTP/1.1" 200 2299893
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:40 +0530] "GET /log/user/cart HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:42 +0530] "GET /log/ HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:42 +0530] "GET /log/resources/styles/dashboard.css HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:42 +0530] "GET /log/resources/styles/bg6.jpg HTTP/1.1" 200 807364
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:45 +0530] "GET /log/user/details HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:45 +0530] "GET /log/resources/styles/empdetails.css HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:48 +0530] "GET /log/ HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:48 +0530] "GET /log/resources/styles/dashboard.css HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:48 +0530] "GET /log/resources/styles/bg6.jpg HTTP/1.1" 200 807364
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:49 +0530] "GET /log/user/orders HTTP/1.1" 200 1681
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:55 +0530] "GET /log/ HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:55 +0530] "GET /log/resources/styles/dashboard.css HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:55 +0530] "GET /log/resources/styles/bg6.jpg HTTP/1.1" 200 807364
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:57 +0530] "GET /log/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:57 +0530] "GET /log/ HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:57 +0530] "GET /log/resources/styles/welcome.css HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [22/Nov/2021:12:37:57 +0530] "GET /log/resources/styles/wel.jpg HTTP/1.1" 200 1861596
