0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:34 +0530] "GET /log/resources/styles/productform.css HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:34 +0530] "GET /log/resources/styles/bg8.png HTTP/1.1" 200 324616
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:36 +0530] "GET /log/user/cart HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:40 +0530] "GET /log/user/delcart/8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:40 +0530] "GET /log/user/cart HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:42 +0530] "GET /log/ HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:42 +0530] "GET /log/resources/styles/dashboard.css HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:42 +0530] "GET /log/resources/styles/med1.jpg HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:42 +0530] "GET /log/resources/styles/expert_advice.jpeg HTTP/1.1" 200 11168
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:42 +0530] "GET /log/resources/styles/aq.jpeg HTTP/1.1" 200 43521
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:42 +0530] "GET /log/resources/styles/bg6.jpg HTTP/1.1" 200 66749
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:45 +0530] "GET /log/user/ask_q HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:45 +0530] "GET /log/resources/styles/register.css HTTP/1.1" 200 1556
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:49 +0530] "POST /log/user/add_q/ HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:49 +0530] "GET /log/resources/styles/register.css HTTP/1.1" 200 1556
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:52 +0530] "GET /log/ HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:52 +0530] "GET /log/resources/styles/dashboard.css HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:52 +0530] "GET /log/resources/styles/med1.jpg HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:52 +0530] "GET /log/resources/styles/expert_advice.jpeg HTTP/1.1" 200 11168
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:52 +0530] "GET /log/resources/styles/aq.jpeg HTTP/1.1" 200 43521
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:52 +0530] "GET /log/resources/styles/bg6.jpg HTTP/1.1" 200 66749
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:54 +0530] "GET /log/user/expertadvice HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:55 +0530] "GET /log/resources/styles/empdetails.css HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:58 +0530] "GET /log/ HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:58 +0530] "GET /log/resources/styles/dashboard.css HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:58 +0530] "GET /log/resources/styles/med1.jpg HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:58 +0530] "GET /log/resources/styles/aq.jpeg HTTP/1.1" 200 43521
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:58 +0530] "GET /log/resources/styles/expert_advice.jpeg HTTP/1.1" 200 11168
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:26:58 +0530] "GET /log/resources/styles/bg6.jpg HTTP/1.1" 200 66749
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:01 +0530] "GET /log/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:01 +0530] "GET /log/ HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:01 +0530] "GET /log/resources/styles/welcome.css HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:01 +0530] "GET /log/resources/styles/bg8.png HTTP/1.1" 200 324616
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:04 +0530] "GET /log/register HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:05 +0530] "GET /log/resources/styles/REG.css HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:30 +0530] "POST /log/registerprocess HTTP/1.1" 302 -
